rowid,COUNTRY,INDICATOR,YR,AMOUNT,Government Type,Regime_type,Continent
2975,Chad,Government expenditure per tertiary student constant PPP,1971,0,presidential republic,Authoritarian,Africa
2976,Chad,Government expenditure per tertiary student constant US,1971,0,presidential republic,Authoritarian,Africa
2977,Chad,Government expenditure per tertiary student PPP,1971,0,presidential republic,Authoritarian,Africa
2978,Chad,Government expenditure per tertiary student US,1971,0,presidential republic,Authoritarian,Africa
2979,Chad,Labor force total,1971,0,presidential republic,Authoritarian,Africa
2980,Chad,Population growth annual pct,1971,2,presidential republic,Authoritarian,Africa
2981,Chad,Population total,1971,3726091,presidential republic,Authoritarian,Africa
2982,Chad,GDP at market prices current US,1972,585427545,presidential republic,Authoritarian,Africa
2983,Chad,GDP per capita current US,1972,153,presidential republic,Authoritarian,Africa
2984,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1972,0,presidential republic,Authoritarian,Africa
2985,Chad,Government expenditure per tertiary student constant PPP,1972,0,presidential republic,Authoritarian,Africa
2986,Chad,Government expenditure per tertiary student constant US,1972,0,presidential republic,Authoritarian,Africa
2987,Chad,Government expenditure per tertiary student PPP,1972,0,presidential republic,Authoritarian,Africa
2988,Chad,Government expenditure per tertiary student US,1972,0,presidential republic,Authoritarian,Africa
2989,Chad,Labor force total,1972,0,presidential republic,Authoritarian,Africa
2990,Chad,Population growth annual pct,1972,2,presidential republic,Authoritarian,Africa
2991,Chad,Population total,1972,3815103,presidential republic,Authoritarian,Africa
2992,Chad,GDP at market prices current US,1973,647199482,presidential republic,Authoritarian,Africa
2993,Chad,GDP per capita current US,1973,165,presidential republic,Authoritarian,Africa
2994,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1973,0,presidential republic,Authoritarian,Africa
2995,Chad,Government expenditure per tertiary student constant PPP,1973,0,presidential republic,Authoritarian,Africa
2996,Chad,Government expenditure per tertiary student constant US,1973,0,presidential republic,Authoritarian,Africa
2997,Chad,Government expenditure per tertiary student PPP,1973,0,presidential republic,Authoritarian,Africa
2998,Chad,Government expenditure per tertiary student US,1973,0,presidential republic,Authoritarian,Africa
2999,Chad,Labor force total,1973,0,presidential republic,Authoritarian,Africa
3000,Chad,Population growth annual pct,1973,2,presidential republic,Authoritarian,Africa
3001,Chad,Population total,1973,3907632,presidential republic,Authoritarian,Africa
3002,Chad,GDP at market prices current US,1974,652532796,presidential republic,Authoritarian,Africa
3003,Chad,GDP per capita current US,1974,163,presidential republic,Authoritarian,Africa
3004,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1974,0,presidential republic,Authoritarian,Africa
3005,Chad,Government expenditure per tertiary student constant PPP,1974,0,presidential republic,Authoritarian,Africa
3006,Chad,Government expenditure per tertiary student constant US,1974,0,presidential republic,Authoritarian,Africa
3007,Chad,Government expenditure per tertiary student PPP,1974,0,presidential republic,Authoritarian,Africa
3008,Chad,Government expenditure per tertiary student US,1974,0,presidential republic,Authoritarian,Africa
3009,Chad,Labor force total,1974,0,presidential republic,Authoritarian,Africa
3010,Chad,Population growth annual pct,1974,2,presidential republic,Authoritarian,Africa
3011,Chad,Population total,1974,3999512,presidential republic,Authoritarian,Africa
3012,Chad,GDP at market prices current US,1975,864602103,presidential republic,Authoritarian,Africa
3013,Chad,GDP per capita current US,1975,211,presidential republic,Authoritarian,Africa
3014,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1975,0,presidential republic,Authoritarian,Africa
3015,Chad,Government expenditure per tertiary student constant PPP,1975,0,presidential republic,Authoritarian,Africa
3016,Chad,Government expenditure per tertiary student constant US,1975,0,presidential republic,Authoritarian,Africa
3017,Chad,Government expenditure per tertiary student PPP,1975,0,presidential republic,Authoritarian,Africa
3018,Chad,Government expenditure per tertiary student US,1975,0,presidential republic,Authoritarian,Africa
3019,Chad,Labor force total,1975,0,presidential republic,Authoritarian,Africa
3020,Chad,Population growth annual pct,1975,2,presidential republic,Authoritarian,Africa
3021,Chad,Population total,1975,4087948,presidential republic,Authoritarian,Africa
3022,Chad,GDP at market prices current US,1976,866044961,presidential republic,Authoritarian,Africa
3023,Chad,GDP per capita current US,1976,207,presidential republic,Authoritarian,Africa
3024,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1976,0,presidential republic,Authoritarian,Africa
3025,Chad,Government expenditure per tertiary student constant PPP,1976,0,presidential republic,Authoritarian,Africa
3026,Chad,Government expenditure per tertiary student constant US,1976,0,presidential republic,Authoritarian,Africa
3027,Chad,Government expenditure per tertiary student PPP,1976,0,presidential republic,Authoritarian,Africa
3028,Chad,Government expenditure per tertiary student US,1976,0,presidential republic,Authoritarian,Africa
3029,Chad,Labor force total,1976,0,presidential republic,Authoritarian,Africa
3030,Chad,Population growth annual pct,1976,2,presidential republic,Authoritarian,Africa
3031,Chad,Population total,1976,4172230,presidential republic,Authoritarian,Africa
3032,Chad,GDP at market prices current US,1977,935360466,presidential republic,Authoritarian,Africa
3033,Chad,GDP per capita current US,1977,219,presidential republic,Authoritarian,Africa
3034,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1977,0,presidential republic,Authoritarian,Africa
3035,Chad,Government expenditure per tertiary student constant PPP,1977,0,presidential republic,Authoritarian,Africa
3036,Chad,Government expenditure per tertiary student constant US,1977,0,presidential republic,Authoritarian,Africa
3037,Chad,Government expenditure per tertiary student PPP,1977,0,presidential republic,Authoritarian,Africa
3038,Chad,Government expenditure per tertiary student US,1977,0,presidential republic,Authoritarian,Africa
3039,Chad,Labor force total,1977,0,presidential republic,Authoritarian,Africa
3040,Chad,Population growth annual pct,1977,1,presidential republic,Authoritarian,Africa
3041,Chad,Population total,1977,4253989,presidential republic,Authoritarian,Africa
3042,Chad,GDP at market prices current US,1978,1113920123,presidential republic,Authoritarian,Africa
3043,Chad,GDP per capita current US,1978,256,presidential republic,Authoritarian,Africa
3044,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1978,0,presidential republic,Authoritarian,Africa
3045,Chad,Government expenditure per tertiary student constant PPP,1978,0,presidential republic,Authoritarian,Africa
3046,Chad,Government expenditure per tertiary student constant US,1978,0,presidential republic,Authoritarian,Africa
3047,Chad,Government expenditure per tertiary student PPP,1978,0,presidential republic,Authoritarian,Africa
3048,Chad,Government expenditure per tertiary student US,1978,0,presidential republic,Authoritarian,Africa
3049,Chad,Labor force total,1978,0,presidential republic,Authoritarian,Africa
3050,Chad,Population growth annual pct,1978,1,presidential republic,Authoritarian,Africa
3051,Chad,Population total,1978,4335645,presidential republic,Authoritarian,Africa
3052,Chad,GDP at market prices current US,1979,1004316495,presidential republic,Authoritarian,Africa
3053,Chad,GDP per capita current US,1979,227,presidential republic,Authoritarian,Africa
3054,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1979,0,presidential republic,Authoritarian,Africa
3055,Chad,Government expenditure per tertiary student constant PPP,1979,0,presidential republic,Authoritarian,Africa
3056,Chad,Government expenditure per tertiary student constant US,1979,0,presidential republic,Authoritarian,Africa
3057,Chad,Government expenditure per tertiary student PPP,1979,0,presidential republic,Authoritarian,Africa
3058,Chad,Government expenditure per tertiary student US,1979,0,presidential republic,Authoritarian,Africa
3059,Chad,Labor force total,1979,0,presidential republic,Authoritarian,Africa
3060,Chad,Population growth annual pct,1979,1,presidential republic,Authoritarian,Africa
3061,Chad,Population total,1979,4420716,presidential republic,Authoritarian,Africa
3062,Chad,GDP at market prices current US,1980,1033002402,presidential republic,Authoritarian,Africa
3063,Chad,GDP per capita current US,1980,228,presidential republic,Authoritarian,Africa
3064,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1980,0,presidential republic,Authoritarian,Africa
3065,Chad,Government expenditure per tertiary student constant PPP,1980,0,presidential republic,Authoritarian,Africa
3066,Chad,Government expenditure per tertiary student constant US,1980,0,presidential republic,Authoritarian,Africa
3067,Chad,Government expenditure per tertiary student PPP,1980,0,presidential republic,Authoritarian,Africa
3068,Chad,Government expenditure per tertiary student US,1980,0,presidential republic,Authoritarian,Africa
3069,Chad,Labor force total,1980,0,presidential republic,Authoritarian,Africa
3070,Chad,Population growth annual pct,1980,2,presidential republic,Authoritarian,Africa
3071,Chad,Population total,1980,4512042,presidential republic,Authoritarian,Africa
3072,Chad,GDP at market prices current US,1981,876937559,presidential republic,Authoritarian,Africa
3073,Chad,GDP per capita current US,1981,190,presidential republic,Authoritarian,Africa
3074,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1981,0,presidential republic,Authoritarian,Africa
3075,Chad,Government expenditure per tertiary student constant PPP,1981,0,presidential republic,Authoritarian,Africa
3076,Chad,Government expenditure per tertiary student constant US,1981,0,presidential republic,Authoritarian,Africa
3077,Chad,Government expenditure per tertiary student PPP,1981,0,presidential republic,Authoritarian,Africa
3078,Chad,Government expenditure per tertiary student US,1981,0,presidential republic,Authoritarian,Africa
3079,Chad,Labor force total,1981,0,presidential republic,Authoritarian,Africa
3080,Chad,Population growth annual pct,1981,2,presidential republic,Authoritarian,Africa
3081,Chad,Population total,1981,4610167,presidential republic,Authoritarian,Africa
3082,Chad,GDP at market prices current US,1982,834369860,presidential republic,Authoritarian,Africa
3083,Chad,GDP per capita current US,1982,176,presidential republic,Authoritarian,Africa
3084,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1982,0,presidential republic,Authoritarian,Africa
3085,Chad,Government expenditure per tertiary student constant PPP,1982,0,presidential republic,Authoritarian,Africa
3086,Chad,Government expenditure per tertiary student constant US,1982,0,presidential republic,Authoritarian,Africa
3087,Chad,Government expenditure per tertiary student PPP,1982,0,presidential republic,Authoritarian,Africa
3088,Chad,Government expenditure per tertiary student US,1982,0,presidential republic,Authoritarian,Africa
3089,Chad,Labor force total,1982,0,presidential republic,Authoritarian,Africa
3090,Chad,Population growth annual pct,1982,2,presidential republic,Authoritarian,Africa
3091,Chad,Population total,1982,4715197,presidential republic,Authoritarian,Africa
3092,Chad,GDP at market prices current US,1983,832415806,presidential republic,Authoritarian,Africa
3093,Chad,GDP per capita current US,1983,172,presidential republic,Authoritarian,Africa
3094,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1983,0,presidential republic,Authoritarian,Africa
3095,Chad,Government expenditure per tertiary student constant PPP,1983,0,presidential republic,Authoritarian,Africa
3096,Chad,Government expenditure per tertiary student constant US,1983,0,presidential republic,Authoritarian,Africa
3097,Chad,Government expenditure per tertiary student PPP,1983,0,presidential republic,Authoritarian,Africa
3098,Chad,Government expenditure per tertiary student US,1983,0,presidential republic,Authoritarian,Africa
3099,Chad,Labor force total,1983,0,presidential republic,Authoritarian,Africa
3100,Chad,Population growth annual pct,1983,2,presidential republic,Authoritarian,Africa
3101,Chad,Population total,1983,4829094,presidential republic,Authoritarian,Africa
3102,Chad,GDP at market prices current US,1984,919103735,presidential republic,Authoritarian,Africa
3103,Chad,GDP per capita current US,1984,185,presidential republic,Authoritarian,Africa
3104,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1984,0,presidential republic,Authoritarian,Africa
3105,Chad,Government expenditure per tertiary student constant PPP,1984,0,presidential republic,Authoritarian,Africa
3106,Chad,Government expenditure per tertiary student constant US,1984,0,presidential republic,Authoritarian,Africa
3107,Chad,Government expenditure per tertiary student PPP,1984,0,presidential republic,Authoritarian,Africa
3108,Chad,Government expenditure per tertiary student US,1984,0,presidential republic,Authoritarian,Africa
3109,Chad,Labor force total,1984,0,presidential republic,Authoritarian,Africa
3110,Chad,Population growth annual pct,1984,2,presidential republic,Authoritarian,Africa
3111,Chad,Population total,1984,4954046,presidential republic,Authoritarian,Africa
3112,Chad,GDP at market prices current US,1985,1033069710,presidential republic,Authoritarian,Africa
3113,Chad,GDP per capita current US,1985,202,presidential republic,Authoritarian,Africa
3114,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1985,0,presidential republic,Authoritarian,Africa
3115,Chad,Government expenditure per tertiary student constant PPP,1985,0,presidential republic,Authoritarian,Africa
3116,Chad,Government expenditure per tertiary student constant US,1985,0,presidential republic,Authoritarian,Africa
3117,Chad,Government expenditure per tertiary student PPP,1985,0,presidential republic,Authoritarian,Africa
3118,Chad,Government expenditure per tertiary student US,1985,0,presidential republic,Authoritarian,Africa
3119,Chad,Labor force total,1985,0,presidential republic,Authoritarian,Africa
3120,Chad,Population growth annual pct,1985,2,presidential republic,Authoritarian,Africa
3121,Chad,Population total,1985,5091535,presidential republic,Authoritarian,Africa
3122,Chad,GDP at market prices current US,1986,1067828247,presidential republic,Authoritarian,Africa
3123,Chad,GDP per capita current US,1986,203,presidential republic,Authoritarian,Africa
3124,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1986,0,presidential republic,Authoritarian,Africa
3125,Chad,Government expenditure per tertiary student constant PPP,1986,0,presidential republic,Authoritarian,Africa
3126,Chad,Government expenditure per tertiary student constant US,1986,0,presidential republic,Authoritarian,Africa
3127,Chad,Government expenditure per tertiary student PPP,1986,0,presidential republic,Authoritarian,Africa
3128,Chad,Government expenditure per tertiary student US,1986,0,presidential republic,Authoritarian,Africa
3129,Chad,Labor force total,1986,0,presidential republic,Authoritarian,Africa
3130,Chad,Population growth annual pct,1986,2,presidential republic,Authoritarian,Africa
3131,Chad,Population total,1986,5243006,presidential republic,Authoritarian,Africa
3132,Chad,GDP at market prices current US,1987,1163426851,presidential republic,Authoritarian,Africa
3133,Chad,GDP per capita current US,1987,215,presidential republic,Authoritarian,Africa
3134,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1987,0,presidential republic,Authoritarian,Africa
3135,Chad,Government expenditure per tertiary student constant PPP,1987,0,presidential republic,Authoritarian,Africa
3136,Chad,Government expenditure per tertiary student constant US,1987,0,presidential republic,Authoritarian,Africa
3137,Chad,Government expenditure per tertiary student PPP,1987,0,presidential republic,Authoritarian,Africa
3138,Chad,Government expenditure per tertiary student US,1987,0,presidential republic,Authoritarian,Africa
3139,Chad,Labor force total,1987,0,presidential republic,Authoritarian,Africa
3140,Chad,Population growth annual pct,1987,3,presidential republic,Authoritarian,Africa
3141,Chad,Population total,1987,5408087,presidential republic,Authoritarian,Africa
3142,Chad,GDP at market prices current US,1988,1482597299,presidential republic,Authoritarian,Africa
3143,Chad,GDP per capita current US,1988,265,presidential republic,Authoritarian,Africa
3144,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1988,0,presidential republic,Authoritarian,Africa
3145,Chad,Government expenditure per tertiary student constant PPP,1988,0,presidential republic,Authoritarian,Africa
3146,Chad,Government expenditure per tertiary student constant US,1988,0,presidential republic,Authoritarian,Africa
3147,Chad,Government expenditure per tertiary student PPP,1988,0,presidential republic,Authoritarian,Africa
3148,Chad,Government expenditure per tertiary student US,1988,0,presidential republic,Authoritarian,Africa
3149,Chad,Labor force total,1988,0,presidential republic,Authoritarian,Africa
3150,Chad,Population growth annual pct,1988,3,presidential republic,Authoritarian,Africa
3151,Chad,Population total,1988,5584339,presidential republic,Authoritarian,Africa
3152,Chad,GDP at market prices current US,1989,1433686310,presidential republic,Authoritarian,Africa
3153,Chad,GDP per capita current US,1989,248,presidential republic,Authoritarian,Africa
3154,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1989,0,presidential republic,Authoritarian,Africa
3155,Chad,Government expenditure per tertiary student constant PPP,1989,0,presidential republic,Authoritarian,Africa
3156,Chad,Government expenditure per tertiary student constant US,1989,0,presidential republic,Authoritarian,Africa
3157,Chad,Government expenditure per tertiary student PPP,1989,0,presidential republic,Authoritarian,Africa
3158,Chad,Government expenditure per tertiary student US,1989,0,presidential republic,Authoritarian,Africa
3159,Chad,Labor force total,1989,0,presidential republic,Authoritarian,Africa
3160,Chad,Population growth annual pct,1989,3,presidential republic,Authoritarian,Africa
3161,Chad,Population total,1989,5768086,presidential republic,Authoritarian,Africa
3162,Chad,GDP at market prices current US,1990,1738605558,presidential republic,Authoritarian,Africa
3163,Chad,GDP per capita current US,1990,291,presidential republic,Authoritarian,Africa
3164,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1990,0,presidential republic,Authoritarian,Africa
3165,Chad,Government expenditure per tertiary student constant PPP,1990,0,presidential republic,Authoritarian,Africa
3166,Chad,Government expenditure per tertiary student constant US,1990,0,presidential republic,Authoritarian,Africa
3167,Chad,Government expenditure per tertiary student PPP,1990,0,presidential republic,Authoritarian,Africa
3168,Chad,Government expenditure per tertiary student US,1990,0,presidential republic,Authoritarian,Africa
3169,Chad,Labor force total,1990,2260663,presidential republic,Authoritarian,Africa
3170,Chad,Population growth annual pct,1990,3,presidential republic,Authoritarian,Africa
3171,Chad,Population total,1990,5956859,presidential republic,Authoritarian,Africa
3172,Chad,GDP at market prices current US,1991,1877138042,presidential republic,Authoritarian,Africa
3173,Chad,GDP per capita current US,1991,305,presidential republic,Authoritarian,Africa
3174,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1991,0,presidential republic,Authoritarian,Africa
3175,Chad,Government expenditure per tertiary student constant PPP,1991,0,presidential republic,Authoritarian,Africa
3176,Chad,Government expenditure per tertiary student constant US,1991,0,presidential republic,Authoritarian,Africa
3177,Chad,Government expenditure per tertiary student PPP,1991,0,presidential republic,Authoritarian,Africa
3178,Chad,Government expenditure per tertiary student US,1991,0,presidential republic,Authoritarian,Africa
3179,Chad,Labor force total,1991,2324377,presidential republic,Authoritarian,Africa
3180,Chad,Population growth annual pct,1991,3,presidential republic,Authoritarian,Africa
3181,Chad,Population total,1991,6150081,presidential republic,Authoritarian,Africa
3182,Chad,GDP at market prices current US,1992,1881847677,presidential republic,Authoritarian,Africa
3183,Chad,GDP per capita current US,1992,296,presidential republic,Authoritarian,Africa
3184,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1992,0,presidential republic,Authoritarian,Africa
3185,Chad,Government expenditure per tertiary student constant PPP,1992,0,presidential republic,Authoritarian,Africa
3186,Chad,Government expenditure per tertiary student constant US,1992,0,presidential republic,Authoritarian,Africa
3187,Chad,Government expenditure per tertiary student PPP,1992,0,presidential republic,Authoritarian,Africa
3188,Chad,Government expenditure per tertiary student US,1992,0,presidential republic,Authoritarian,Africa
3189,Chad,Labor force total,1992,2391475,presidential republic,Authoritarian,Africa
3190,Chad,Population growth annual pct,1992,3,presidential republic,Authoritarian,Africa
3191,Chad,Population total,1992,6349089,presidential republic,Authoritarian,Africa
3192,Chad,GDP at market prices current US,1993,1463251055,presidential republic,Authoritarian,Africa
3193,Chad,GDP per capita current US,1993,223,presidential republic,Authoritarian,Africa
3194,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1993,0,presidential republic,Authoritarian,Africa
3195,Chad,Government expenditure per tertiary student constant PPP,1993,0,presidential republic,Authoritarian,Africa
3196,Chad,Government expenditure per tertiary student constant US,1993,0,presidential republic,Authoritarian,Africa
3197,Chad,Government expenditure per tertiary student PPP,1993,0,presidential republic,Authoritarian,Africa
3198,Chad,Government expenditure per tertiary student US,1993,0,presidential republic,Authoritarian,Africa
3199,Chad,Labor force total,1993,2464002,presidential republic,Authoritarian,Africa
3200,Chad,Population growth annual pct,1993,3,presidential republic,Authoritarian,Africa
3201,Chad,Population total,1993,6555603,presidential republic,Authoritarian,Africa
3202,Chad,GDP at market prices current US,1994,1179837955,presidential republic,Authoritarian,Africa
3203,Chad,GDP per capita current US,1994,174,presidential republic,Authoritarian,Africa
3204,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1994,0,presidential republic,Authoritarian,Africa
3205,Chad,Government expenditure per tertiary student constant PPP,1994,0,presidential republic,Authoritarian,Africa
3206,Chad,Government expenditure per tertiary student constant US,1994,0,presidential republic,Authoritarian,Africa
3207,Chad,Government expenditure per tertiary student PPP,1994,0,presidential republic,Authoritarian,Africa
3208,Chad,Government expenditure per tertiary student US,1994,0,presidential republic,Authoritarian,Africa
3209,Chad,Labor force total,1994,2539628,presidential republic,Authoritarian,Africa
3210,Chad,Population growth annual pct,1994,3,presidential republic,Authoritarian,Africa
3211,Chad,Population total,1994,6772133,presidential republic,Authoritarian,Africa
3212,Chad,GDP at market prices current US,1995,1445919970,presidential republic,Authoritarian,Africa
3213,Chad,GDP per capita current US,1995,206,presidential republic,Authoritarian,Africa
3214,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1995,0,presidential republic,Authoritarian,Africa
3215,Chad,Government expenditure per tertiary student constant PPP,1995,0,presidential republic,Authoritarian,Africa
3216,Chad,Government expenditure per tertiary student constant US,1995,0,presidential republic,Authoritarian,Africa
3217,Chad,Government expenditure per tertiary student PPP,1995,0,presidential republic,Authoritarian,Africa
3218,Chad,Government expenditure per tertiary student US,1995,0,presidential republic,Authoritarian,Africa
3219,Chad,Labor force total,1995,2620972,presidential republic,Authoritarian,Africa
3220,Chad,Population growth annual pct,1995,3,presidential republic,Authoritarian,Africa
3221,Chad,Population total,1995,7000722,presidential republic,Authoritarian,Africa
3222,Chad,GDP at market prices current US,1996,1607345450,presidential republic,Authoritarian,Africa
3223,Chad,GDP per capita current US,1996,221,presidential republic,Authoritarian,Africa
3224,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1996,0,presidential republic,Authoritarian,Africa
3225,Chad,Government expenditure per tertiary student constant PPP,1996,0,presidential republic,Authoritarian,Africa
3226,Chad,Government expenditure per tertiary student constant US,1996,0,presidential republic,Authoritarian,Africa
3227,Chad,Government expenditure per tertiary student PPP,1996,0,presidential republic,Authoritarian,Africa
3228,Chad,Government expenditure per tertiary student US,1996,0,presidential republic,Authoritarian,Africa
3229,Chad,Labor force total,1996,2702063,presidential republic,Authoritarian,Africa
3230,Chad,Population growth annual pct,1996,3,presidential republic,Authoritarian,Africa
3231,Chad,Population total,1996,7241134,presidential republic,Authoritarian,Africa
3232,Chad,GDP at market prices current US,1997,1544689503,presidential republic,Authoritarian,Africa
3233,Chad,GDP per capita current US,1997,206,presidential republic,Authoritarian,Africa
3234,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1997,264,presidential republic,Authoritarian,Africa
3235,Chad,Government expenditure per tertiary student constant PPP,1997,0,presidential republic,Authoritarian,Africa
3236,Chad,Government expenditure per tertiary student constant US,1997,0,presidential republic,Authoritarian,Africa
3237,Chad,Government expenditure per tertiary student PPP,1997,0,presidential republic,Authoritarian,Africa
3238,Chad,Government expenditure per tertiary student US,1997,0,presidential republic,Authoritarian,Africa
3239,Chad,Labor force total,1997,2789177,presidential republic,Authoritarian,Africa
3240,Chad,Population growth annual pct,1997,3,presidential republic,Authoritarian,Africa
3241,Chad,Population total,1997,7493251,presidential republic,Authoritarian,Africa
3242,Chad,GDP at market prices current US,1998,1744794457,presidential republic,Authoritarian,Africa
3243,Chad,GDP per capita current US,1998,224,presidential republic,Authoritarian,Africa
3244,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1998,442,presidential republic,Authoritarian,Africa
3245,Chad,Government expenditure per tertiary student constant PPP,1998,4954,presidential republic,Authoritarian,Africa
3246,Chad,Government expenditure per tertiary student constant US,1998,2356,presidential republic,Authoritarian,Africa
3247,Chad,Government expenditure per tertiary student PPP,1998,3660,presidential republic,Authoritarian,Africa
3248,Chad,Government expenditure per tertiary student US,1998,994,presidential republic,Authoritarian,Africa
3249,Chad,Labor force total,1998,2882849,presidential republic,Authoritarian,Africa
3250,Chad,Population growth annual pct,1998,3,presidential republic,Authoritarian,Africa
3251,Chad,Population total,1998,7759258,presidential republic,Authoritarian,Africa
3252,Chad,GDP at market prices current US,1999,1534673583,presidential republic,Authoritarian,Africa
3253,Chad,GDP per capita current US,1999,190,presidential republic,Authoritarian,Africa
3254,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,1999,0,presidential republic,Authoritarian,Africa
3255,Chad,Government expenditure per tertiary student constant PPP,1999,0,presidential republic,Authoritarian,Africa
3256,Chad,Government expenditure per tertiary student constant US,1999,0,presidential republic,Authoritarian,Africa
3257,Chad,Government expenditure per tertiary student PPP,1999,0,presidential republic,Authoritarian,Africa
3258,Chad,Government expenditure per tertiary student US,1999,0,presidential republic,Authoritarian,Africa
3259,Chad,Labor force total,1999,2984184,presidential republic,Authoritarian,Africa
3260,Chad,Population growth annual pct,1999,3,presidential republic,Authoritarian,Africa
3261,Chad,Population total,1999,8041846,presidential republic,Authoritarian,Africa
3262,Chad,GDP at market prices current US,2000,1385058162,presidential republic,Authoritarian,Africa
3263,Chad,GDP per capita current US,2000,166,presidential republic,Authoritarian,Africa
3264,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,2000,0,presidential republic,Authoritarian,Africa
3265,Chad,Government expenditure per tertiary student constant PPP,2000,0,presidential republic,Authoritarian,Africa
3266,Chad,Government expenditure per tertiary student constant US,2000,0,presidential republic,Authoritarian,Africa
3267,Chad,Government expenditure per tertiary student PPP,2000,0,presidential republic,Authoritarian,Africa
3268,Chad,Government expenditure per tertiary student US,2000,0,presidential republic,Authoritarian,Africa
3269,Chad,Labor force total,2000,3092943,presidential republic,Authoritarian,Africa
3270,Chad,Population growth annual pct,2000,3,presidential republic,Authoritarian,Africa
3271,Chad,Population total,2000,8342559,presidential republic,Authoritarian,Africa
3272,Chad,GDP at market prices current US,2001,1709347793,presidential republic,Authoritarian,Africa
3273,Chad,GDP per capita current US,2001,197,presidential republic,Authoritarian,Africa
3274,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,2001,0,presidential republic,Authoritarian,Africa
3275,Chad,Government expenditure per tertiary student constant PPP,2001,0,presidential republic,Authoritarian,Africa
3276,Chad,Government expenditure per tertiary student constant US,2001,0,presidential republic,Authoritarian,Africa
3277,Chad,Government expenditure per tertiary student PPP,2001,0,presidential republic,Authoritarian,Africa
3278,Chad,Government expenditure per tertiary student US,2001,0,presidential republic,Authoritarian,Africa
3279,Chad,Labor force total,2001,3203499,presidential republic,Authoritarian,Africa
3280,Chad,Population growth annual pct,2001,3,presidential republic,Authoritarian,Africa
3281,Chad,Population total,2001,8663012,presidential republic,Authoritarian,Africa
3282,Chad,GDP at market prices current US,2002,1987622279,presidential republic,Authoritarian,Africa
3283,Chad,GDP per capita current US,2002,220,presidential republic,Authoritarian,Africa
3284,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,2002,0,presidential republic,Authoritarian,Africa
3285,Chad,Government expenditure per tertiary student constant PPP,2002,0,presidential republic,Authoritarian,Africa
3286,Chad,Government expenditure per tertiary student constant US,2002,0,presidential republic,Authoritarian,Africa
3287,Chad,Government expenditure per tertiary student PPP,2002,0,presidential republic,Authoritarian,Africa
3288,Chad,Government expenditure per tertiary student US,2002,0,presidential republic,Authoritarian,Africa
3289,Chad,Labor force total,2002,3322865,presidential republic,Authoritarian,Africa
3290,Chad,Population growth annual pct,2002,3,presidential republic,Authoritarian,Africa
3291,Chad,Population total,2002,9001689,presidential republic,Authoritarian,Africa
3292,Chad,GDP at market prices current US,2003,2736666516,presidential republic,Authoritarian,Africa
3293,Chad,GDP per capita current US,2003,292,presidential republic,Authoritarian,Africa
3294,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,2003,0,presidential republic,Authoritarian,Africa
3295,Chad,Government expenditure per tertiary student constant PPP,2003,0,presidential republic,Authoritarian,Africa
3296,Chad,Government expenditure per tertiary student constant US,2003,0,presidential republic,Authoritarian,Africa
3297,Chad,Government expenditure per tertiary student PPP,2003,0,presidential republic,Authoritarian,Africa
3298,Chad,Government expenditure per tertiary student US,2003,0,presidential republic,Authoritarian,Africa
3299,Chad,Labor force total,2003,3448376,presidential republic,Authoritarian,Africa
3300,Chad,Population growth annual pct,2003,3,presidential republic,Authoritarian,Africa
3301,Chad,Population total,2003,9353201,presidential republic,Authoritarian,Africa
3302,Chad,GDP at market prices current US,2004,4414929220,presidential republic,Authoritarian,Africa
3303,Chad,GDP per capita current US,2004,454,presidential republic,Authoritarian,Africa
3304,Chad,Government expenditure per tertiary student as pct of GDP per capita pct,2004,269,presidential republic,Authoritarian,Africa
